A B C D E F G H 
A B C E D F G H 
A B C E F D G H 
A B C E F G D H 
A B C E F G H D 
A B E C D F G H 
A B E C F D G H 
A B E C F G D H 
A B E C F G H D 
A B E F C D G H 
A B E F C G D H 
A B E F C G H D 
A B E F G C D H 
A B E F G C H D 
A B E F G H C D 
A E B C D F G H 
A E B C F D G H 
A E B C F G D H 
A E B C F G H D 
A E B F C D G H 
A E B F C G D H 
A E B F C G H D 
A E B F G C D H 
A E B F G C H D 
A E B F G H C D 
A E F B C D G H 
A E F B C G D H 
A E F B C G H D 
A E F B G C D H 
A E F B G C H D 
A E F B G H C D 
A E F G B C D H 
A E F G B C H D 
A E F G B H C D 
A E F G H B C D 
E A B C D F G H 
E A B C F D G H 
E A B C F G D H 
E A B C F G H D 
E A B F C D G H 
E A B F C G D H 
E A B F C G H D 
E A B F G C D H 
E A B F G C H D 
E A B F G H C D 
E A F B C D G H 
E A F B C G D H 
E A F B C G H D 
E A F B G C D H 
E A F B G C H D 
E A F B G H C D 
E A F G B C D H 
E A F G B C H D 
E A F G B H C D 
E A F G H B C D 
E F A B C D G H 
E F A B C G D H 
E F A B C G H D 
E F A B G C D H 
E F A B G C H D 
E F A B G H C D 
E F A G B C D H 
E F A G B C H D 
E F A G B H C D 
E F A G H B C D 
E F G A B C D H 
E F G A B C H D 
E F G A B H C D 
E F G A H B C D 
E F G H A B C D 
